time_start,zone,afrr_up_price_eur_mw,afrr_up_volume_mw,afrr_down_price_eur_mw,afrr_down_volume_mw
2026-01-03T22:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-03T23:00:00,SN1,9.0,28.0,8.0,50.0
2026-01-03T23:00:00,SN2,11.0,2.0,8.0,120.0
2026-01-03T23:00:00,SN3,0.0,0.0,8.0,40.0
2026-01-03T23:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T00:00:00,SN1,0.0,0.0,12.0,50.0
2026-01-04T00:00:00,SN2,0.0,0.0,12.0,62.0
2026-01-04T00:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T00:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T01:00:00,SN1,0.0,0.0,12.0,40.0
2026-01-04T01:00:00,SN2,0.0,0.0,12.0,53.0
2026-01-04T01:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T01:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T02:00:00,SN1,0.0,0.0,12.0,40.0
2026-01-04T02:00:00,SN2,0.0,0.0,12.0,53.0
2026-01-04T02:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T02:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T03:00:00,SN1,0.0,0.0,11.5,40.0
2026-01-04T03:00:00,SN2,0.0,0.0,11.5,53.0
2026-01-04T03:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T03:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T04:00:00,SN1,0.0,0.0,10.0,80.0
2026-01-04T04:00:00,SN2,0.0,0.0,10.0,116.0
2026-01-04T04:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T04:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T05:00:00,SN1,0.0,0.0,10.0,80.0
2026-01-04T05:00:00,SN2,0.0,0.0,10.0,116.0
2026-01-04T05:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T05:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T06:00:00,SN1,0.0,0.0,12.0,116.0
2026-01-04T06:00:00,SN2,0.0,0.0,12.0,130.0
2026-01-04T06:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T06:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T07:00:00,SN1,0.0,0.0,12.0,116.0
2026-01-04T07:00:00,SN2,0.0,0.0,12.0,130.0
2026-01-04T07:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T07:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T08:00:00,SN1,0.0,0.0,12.0,116.0
2026-01-04T08:00:00,SN2,0.0,0.0,12.0,130.0
2026-01-04T08:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T08:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T09:00:00,SN1,0.0,0.0,12.5,116.0
2026-01-04T09:00:00,SN2,0.0,0.0,12.5,130.0
2026-01-04T09:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T09:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T10:00:00,SN1,0.0,0.0,10.0,80.0
2026-01-04T10:00:00,SN2,0.0,0.0,10.0,118.0
2026-01-04T10:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T10:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T11:00:00,SN1,0.0,0.0,13.5,116.0
2026-01-04T11:00:00,SN2,0.0,0.0,13.5,130.0
2026-01-04T11:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T11:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T12:00:00,SN1,0.0,0.0,13.5,116.0
2026-01-04T12:00:00,SN2,0.0,0.0,13.5,130.0
2026-01-04T12:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T12:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T13:00:00,SN1,0.0,0.0,8.0,80.0
2026-01-04T13:00:00,SN2,0.0,0.0,8.0,80.0
2026-01-04T13:00:00,SN3,0.0,0.0,0.0,0.0
2026-01-04T13:00:00,SN4,0.0,0.0,0.0,0.0
2026-01-04T14:00:00,SN1,0.0,0.0,12.0,116.0
2026-01-04T14:00:00,SN2,0.0,0.0,12.0,130.0
