time_start,zone,mfrr_cm_up_price_eur_mw,mfrr_cm_up_volume_mw,mfrr_cm_down_price_eur_mw,mfrr_cm_down_volume_mw
2025-01-03T08:00:00,SN2,10.0,102.0,6.0,580.0
2025-01-03T08:00:00,SN3,26.8,268.0,5.0,160.0
2025-01-03T08:00:00,SN4,26.8,3.0,5.0,80.0
2025-01-03T09:00:00,SN1,4.0,42.0,10.0,170.0
2025-01-03T09:00:00,SN2,7.0,82.0,6.0,580.0
2025-01-03T09:00:00,SN3,7.0,333.0,5.0,161.0
2025-01-03T09:00:00,SN4,8.31,3.0,5.0,79.0
2025-01-03T10:00:00,SN1,5.0,47.0,10.0,184.0
2025-01-03T10:00:00,SN2,5.0,67.0,6.0,567.0
2025-01-03T10:00:00,SN3,7.0,303.0,5.0,164.0
2025-01-03T10:00:00,SN4,8.31,3.0,5.0,75.0
2025-01-03T11:00:00,SN1,5.0,47.0,10.0,188.0
2025-01-03T11:00:00,SN2,5.0,67.0,6.0,560.0
2025-01-03T11:00:00,SN3,7.0,303.0,4.0,169.0
2025-01-03T11:00:00,SN4,7.0,3.0,4.0,71.0
2025-01-03T12:00:00,SN1,5.0,44.0,10.0,187.0
2025-01-03T12:00:00,SN2,5.0,51.0,6.0,561.0
2025-01-03T12:00:00,SN3,6.0,323.0,2.0,132.0
2025-01-03T12:00:00,SN4,6.0,3.0,2.0,22.0
2025-01-03T13:00:00,SN1,5.0,45.0,10.0,189.0
2025-01-03T13:00:00,SN2,5.0,51.0,6.0,561.0
2025-01-03T13:00:00,SN3,6.0,323.0,2.0,133.0
2025-01-03T13:00:00,SN4,6.0,3.0,2.0,26.0
2025-01-03T14:00:00,SN1,5.0,39.0,10.0,185.0
2025-01-03T14:00:00,SN2,5.0,56.0,6.0,565.0
2025-01-03T14:00:00,SN3,6.0,323.0,2.0,133.0
2025-01-03T14:00:00,SN4,6.0,3.0,2.0,26.0
2025-01-03T15:00:00,SN1,5.0,44.0,10.0,185.0
2025-01-03T15:00:00,SN2,5.0,51.0,6.0,565.0
2025-01-03T15:00:00,SN3,6.0,323.0,2.0,133.0
2025-01-03T15:00:00,SN4,6.0,3.0,2.0,11.0
2025-01-03T16:00:00,SN1,4.0,42.0,8.0,179.0
2025-01-03T16:00:00,SN2,4.0,36.0,7.0,569.0
2025-01-03T16:00:00,SN3,7.0,358.0,2.0,133.0
2025-01-03T16:00:00,SN4,7.0,3.0,2.0,36.0
2025-01-03T17:00:00,SN1,5.0,47.0,11.0,177.0
2025-01-03T17:00:00,SN2,5.0,36.0,6.0,571.0
2025-01-03T17:00:00,SN3,12.74,358.0,1.0,133.0
2025-01-03T17:00:00,SN4,12.74,3.0,2.0,11.0
2025-01-03T18:00:00,SN1,5.0,43.0,11.0,179.0
2025-01-03T18:00:00,SN2,5.0,66.0,9.04,573.0
2025-01-03T18:00:00,SN3,40.21,308.0,1.34,145.0
2025-01-03T18:00:00,SN4,40.21,3.0,2.0,5.0
2025-01-03T19:00:00,SN1,5.0,43.0,11.0,175.0
2025-01-03T19:00:00,SN2,5.0,66.0,7.02,575.0
2025-01-03T19:00:00,SN3,40.21,308.0,2.0,142.0
2025-01-03T19:00:00,SN4,40.21,3.0,2.0,8.0
2025-01-03T20:00:00,SN1,3.0,38.0,11.0,180.0
2025-01-03T20:00:00,SN2,5.0,76.0,11.0,570.0
2025-01-03T20:00:00,SN3,8.31,303.0,2.0,144.0
2025-01-03T20:00:00,SN4,8.31,3.0,2.0,8.0
2025-01-03T21:00:00,SN1,5.0,43.0,12.0,203.0
2025-01-03T21:00:00,SN2,5.0,71.0,10.2,552.0
2025-01-03T21:00:00,SN3,7.0,303.0,8.0,187.0
2025-01-03T21:00:00,SN4,7.0,3.0,8.0,48.0
2025-01-03T22:00:00,SN1,6.0,31.0,14.0,192.0
2025-01-03T22:00:00,SN2,6.0,85.0,11.3,558.0
2025-01-03T22:00:00,SN3,7.0,303.0,2.66,142.0
2025-01-03T22:00:00,SN4,7.0,3.0,2.66,39.0
2025-01-03T23:00:00,SN1,3.0,31.0,14.0,192.0
2025-01-03T23:00:00,SN2,3.0,46.0,10.8,558.0
2025-01-03T23:00:00,SN3,6.0,341.0,2.0,147.0
2025-01-03T23:00:00,SN4,6.0,3.0,2.0,14.0
2025-01-04T00:00:00,SN1,0.0,0.0,19.2,190.0
2025-01-04T00:00:00,SN2,0.0,0.0,19.2,523.0
2025-01-04T00:00:00,SN3,2.68,317.0,1.34,171.0
2025-01-04T00:00:00,SN4,2.68,3.0,2.68,9.0
2025-01-04T01:00:00,SN1,0.0,0.0,19.2,191.0
2025-01-04T01:00:00,SN2,0.0,0.0,19.2,524.0
2025-01-04T01:00:00,SN3,2.68,317.0,1.34,171.0
2025-01-04T01:00:00,SN4,2.68,3.0,2.68,9.0
2025-01-04T02:00:00,SN1,0.0,0.0,19.2,191.0
2025-01-04T02:00:00,SN2,0.0,0.0,19.2,524.0
2025-01-04T02:00:00,SN3,5.36,317.0,1.34,171.0
2025-01-04T02:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T03:00:00,SN1,0.0,0.0,19.2,203.0
2025-01-04T03:00:00,SN2,0.0,0.0,19.2,513.0
2025-01-04T03:00:00,SN3,5.36,317.0,2.68,171.0
2025-01-04T03:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T04:00:00,SN1,0.0,0.0,19.2,203.0
2025-01-04T04:00:00,SN2,0.0,0.0,19.2,513.0
2025-01-04T04:00:00,SN3,1.17,256.0,2.68,171.0
2025-01-04T04:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T05:00:00,SN1,0.0,0.0,19.2,202.0
2025-01-04T05:00:00,SN2,0.0,0.0,19.2,512.0
2025-01-04T05:00:00,SN3,1.17,255.0,13.0,230.0
2025-01-04T05:00:00,SN4,1.17,3.0,13.0,9.0
2025-01-04T06:00:00,SN1,0.0,0.0,13.0,177.0
2025-01-04T06:00:00,SN2,0.0,0.0,12.1,555.0
2025-01-04T06:00:00,SN3,1.22,218.0,7.0,221.0
2025-01-04T06:00:00,SN4,5.36,3.0,7.0,19.0
2025-01-04T07:00:00,SN1,0.0,0.0,15.0,167.0
2025-01-04T07:00:00,SN2,0.0,0.0,6.0,563.0
2025-01-04T07:00:00,SN3,5.36,313.0,4.02,159.0
2025-01-04T07:00:00,SN4,5.36,3.0,4.53,14.0
2025-01-04T08:00:00,SN1,0.0,0.0,15.0,167.0
2025-01-04T08:00:00,SN2,0.0,0.0,6.0,563.0
2025-01-04T08:00:00,SN3,5.36,313.0,2.7,158.0
2025-01-04T08:00:00,SN4,5.36,3.0,2.7,9.0
2025-01-04T09:00:00,SN1,0.0,0.0,13.0,172.0
2025-01-04T09:00:00,SN2,0.0,0.0,5.0,556.0
2025-01-04T09:00:00,SN3,2.0,268.0,2.0,159.0
2025-01-04T09:00:00,SN4,5.36,3.0,4.53,14.0
2025-01-04T10:00:00,SN1,0.0,0.0,12.5,157.0
2025-01-04T10:00:00,SN2,0.0,0.0,7.5,580.0
2025-01-04T10:00:00,SN3,5.36,313.0,2.0,159.0
2025-01-04T10:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T11:00:00,SN1,0.0,0.0,13.0,177.0
2025-01-04T11:00:00,SN2,0.0,0.0,6.0,566.0
2025-01-04T11:00:00,SN3,2.0,268.0,2.68,159.0
2025-01-04T11:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T12:00:00,SN1,0.0,0.0,14.4,177.0
2025-01-04T12:00:00,SN2,0.0,0.0,6.6,557.0
2025-01-04T12:00:00,SN3,5.36,313.0,2.68,159.0
2025-01-04T12:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T13:00:00,SN1,0.0,0.0,12.5,157.0
2025-01-04T13:00:00,SN2,0.0,0.0,8.0,575.0
2025-01-04T13:00:00,SN3,5.36,313.0,2.68,159.0
2025-01-04T13:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T14:00:00,SN1,0.0,0.0,12.5,157.0
2025-01-04T14:00:00,SN2,0.0,0.0,9.0,572.0
2025-01-04T14:00:00,SN3,5.36,313.0,2.68,159.0
2025-01-04T14:00:00,SN4,5.36,3.0,2.68,9.0
2025-01-04T15:00:00,SN1,0.0,0.0,12.5,157.0
2025-01-04T15:00:00,SN2,0.0,0.0,8.0,571.0
